id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type,q1,q2,q3,q4,q5,q6,q7,final_decision
107,State-of-health and remaining-useful-life estimations of lithium-ion battery based on temporal convolutional network-long short-term memory,Li C.; Han X.; Zhang Q.; Li M.; Rao Z.; Liao W.; Liu X.; Liu X.; Li G.,2023.0,Journal of Energy Storage,10.1016/j.est.2023.109498,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,Evolutionary Algorithm Based Feature Subset Selection for Students Academic Performance Analysis,Babu I.; Mathusoothana R.; Kumar S.,2023.0,Intelligent Automation and Soft Computing,10.32604/iasc.2023.033791,2023.0,Scopus,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
109,LightAdam: Towards a Fast and Accurate Adaptive Momentum Online Algorithm,Zhou Y.; Huang K.; Cheng C.; Wang X.; Liu X.,2022.0,Cognitive Computation,10.1007/s12559-021-09985-9,2022.0,Scopus,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
110,Hybrid optimization enabled deep learning and spark architecture using big data analytics for stock market forecasting,Kanchanamala P.; Karnati R.; Bhaskar Reddy P.V.,2023.0,Concurrency and Computation: Practice and Experience,10.1002/cpe.7618,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,Big Data Analytics Assisted Arithmetic Optimization with Deep Learning Model for Sentiment Classification,Manivannan K.; Suresh T.; Parthiban M.,2023.0,International Journal of Engineering Trends and Technology,10.14445/22315381/IJETT-V71I12P206,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,Optimal deep learning approaches and healthcare big data analytics for mobile networks toward 5G,Pustokhin D.A.; Pustokhina I.V.; Rani P.; Kansal V.; Elhoseny M.; Joshi G.P.; Shankar K.,2021.0,Computers and Electrical Engineering,10.1016/j.compeleceng.2021.107376,2021.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,Big Data Classification in IOT Healthcare Application Using Optimal Deep Learning,Akhtar M.D.M.; Ahamad D.; Shatat A.S.A.; Shatat A.S.A.,2023.0,International Journal of Semantic Computing,10.1142/S1793351X22400153,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Attack prevention in IoT through hybrid optimization mechanism and deep learning framework,Nagaraju R.; Pentang J.T.; Abdufattokhov S.; CosioBorda R.F.; Mageswari N.; Uganya G.,2022.0,Measurement: Sensors,10.1016/j.measen.2022.100431,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,DSSAE-BBOA: deep learning-based weather big data analysis and visualization,Madhukar Rao G.; Dharavath R.,2021.0,Multimedia Tools and Applications,10.1007/s11042-021-11059-9,2021.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,Cross-correlation and forecast impact of public attention on USD/CNY exchange rate: Evidence from Baidu Index,Lin Y.; Wang R.; Gong X.; Jia G.,2022.0,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2022.127686,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,An Intelligent Task Scheduling Model for Hybrid Internet of Things and Cloud Environment for Big Data Applications,Pal S.; Jhanjhi N.Z.; Abdulbaqi A.S.; Akila D.; Alsubaei F.S.; Almazroi A.A.,2023.0,Sustainability (Switzerland),10.3390/su15065104,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,Self-attention convolutional neural network optimized with season optimization algorithm Espoused Chronic Kidney Diseases Diagnosis in Big Data System,Sulthan Alikhan J.; Alageswaran R.; Miruna Joe Amali S.,2023.0,Biomedical Signal Processing and Control,10.1016/j.bspc.2023.105011,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,ExpSSOA-Deep maxout: Exponential Shuffled shepherd optimization based Deep maxout network for intrusion detection using big data in cloud computing framework,Pandey B.K.; M．R．M． V.; Ahmad S.; Rodriguez C.; Esenarro D.,2023.0,Computers and Security,10.1016/j.cose.2022.102975,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,Fuzzy Neighbors and Deep Learning-Assisted Spark Model for Imbalanced Classification of Big Data,Nalinipriya G.; Geetha M.; Sudha D.; Daniya T.,2023.0,"International Journal of Uncertainty, Fuzziness and Knowldege-Based Systems",10.1142/S0218488523500095,2023.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,Grey Wolf Shuffled Shepherd Optimization Algorithm-Based Hybrid Deep Learning Classifier for Big Data Classification,Banchhor C.; Srinivasu N.,2022.0,International Journal of Swarm Intelligence Research,10.4018/IJSIR.302612,2022.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy under a Cloud Environment,Zhou Z.; Li F.; Yang S.,2021.0,ACM Transactions on Asian and Low-Resource Language Information Processing,10.1145/3462761,2021.0,Scopus,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,Annealed gradient descent for deep learning,"Pan, Hengyue and Niu, Xin and Li, RongChun and Dou, Yong and Jiang, Hui",2020.0,Elsevier,https://doi.org/10.1016/j.neucom.2019.11.021,2020.0,Scopus,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
126,A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,J. Jiang; H. Ren; M. Zhang,2022.0,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2021.3073560,2022.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
127,PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning,J. Wei; X. Zhang; Z. Ji; J. Li; Z. Wei,2021.0,"2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00187,2021.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,Big data classification using deep learning and apache spark architecture,Brahmane A.V.; Krishna B.C.,2021.0,Neural Computing and Applications,10.1007/s00521-021-06145-w,2021.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,Rider-Deep Belief Network-Based MapReduce Framework for Big Data Classification,Gujjeti S.; Pabboju S.,2021.0,"Smart Innovation, Systems and Technologies",10.1007/978-981-16-0878-0_24,2021.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,A deep LSTM network for the Spanish electricity consumption forecasting,"Torres, JF; Martínez-Alvarez, F; Troncoso, A",2022.0,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-021-06773-2,2022.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
