id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type
111,Big Data Analytics Assisted Arithmetic Optimization with Deep Learning Model for Sentiment Classification,Manivannan K.; Suresh T.; Parthiban M.,2023,International Journal of Engineering Trends and Technology,10.14445/22315381/IJETT-V71I12P206,2023,Scopus,
112,Optimal deep learning approaches and healthcare big data analytics for mobile networks toward 5G,Pustokhin D.A.; Pustokhina I.V.; Rani P.; Kansal V.; Elhoseny M.; Joshi G.P.; Shankar K.,2021,Computers and Electrical Engineering,10.1016/j.compeleceng.2021.107376,2021,Scopus,
113,Big Data Classification in IOT Healthcare Application Using Optimal Deep Learning,Akhtar M.D.M.; Ahamad D.; Shatat A.S.A.; Shatat A.S.A.,2023,International Journal of Semantic Computing,10.1142/S1793351X22400153,2023,Scopus,
114,Deep Learning Model for Big Data Classification in Apache Spark Environment,Nithya T.M.; Umanesan R.; Kalavathidevi T.; Selvarathi C.; Kavitha A.,2023,Intelligent Automation and Soft Computing,10.32604/iasc.2022.028804,2023,Scopus,
115,Attack prevention in IoT through hybrid optimization mechanism and deep learning framework,Nagaraju R.; Pentang J.T.; Abdufattokhov S.; CosioBorda R.F.; Mageswari N.; Uganya G.,2022,Measurement: Sensors,10.1016/j.measen.2022.100431,2022,Scopus,
116,DSSAE-BBOA: deep learning-based weather big data analysis and visualization,Madhukar Rao G.; Dharavath R.,2021,Multimedia Tools and Applications,10.1007/s11042-021-11059-9,2021,Scopus,
117,Cross-correlation and forecast impact of public attention on USD/CNY exchange rate: Evidence from Baidu Index,Lin Y.; Wang R.; Gong X.; Jia G.,2022,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2022.127686,2022,Scopus,
118,An Intelligent Task Scheduling Model for Hybrid Internet of Things and Cloud Environment for Big Data Applications,Pal S.; Jhanjhi N.Z.; Abdulbaqi A.S.; Akila D.; Alsubaei F.S.; Almazroi A.A.,2023,Sustainability (Switzerland),10.3390/su15065104,2023,Scopus,
119,Self-attention convolutional neural network optimized with season optimization algorithm Espoused Chronic Kidney Diseases Diagnosis in Big Data System,Sulthan Alikhan J.; Alageswaran R.; Miruna Joe Amali S.,2023,Biomedical Signal Processing and Control,10.1016/j.bspc.2023.105011,2023,Scopus,
120,ExpSSOA-Deep maxout: Exponential Shuffled shepherd optimization based Deep maxout network for intrusion detection using big data in cloud computing framework,Pandey B.K.; M．R．M． V.; Ahmad S.; Rodriguez C.; Esenarro D.,2023,Computers and Security,10.1016/j.cose.2022.102975,2023,Scopus,
121,Fuzzy Neighbors and Deep Learning-Assisted Spark Model for Imbalanced Classification of Big Data,Nalinipriya G.; Geetha M.; Sudha D.; Daniya T.,2023,"International Journal of Uncertainty, Fuzziness and Knowldege-Based Systems",10.1142/S0218488523500095,2023,Scopus,
122,Grey Wolf Shuffled Shepherd Optimization Algorithm-Based Hybrid Deep Learning Classifier for Big Data Classification,Banchhor C.; Srinivasu N.,2022,International Journal of Swarm Intelligence Research,10.4018/IJSIR.302612,2022,Scopus,
123,A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy under a Cloud Environment,Zhou Z.; Li F.; Yang S.,2021,ACM Transactions on Asian and Low-Resource Language Information Processing,10.1145/3462761,2021,Scopus,
124,Annealed gradient descent for deep learning,Pan H.; Jiang H.,2015,"Uncertainty in Artificial Intelligence - Proceedings of the 31st Conference, UAI 2015",,2015,Scopus,
126,Parallel Optimization of Depth Learning Algorithm Based on Behavior Recognition,Y. Shi; B. Zhou; C. Li,2019,"2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS.2019.00164,2019,,
127,A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,J. Jiang; H. Ren; M. Zhang,2022,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2021.3073560,2022,,
128,PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning,J. Wei; X. Zhang; Z. Ji; J. Li; Z. Wei,2021,"2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00187,2021,,
129,Big data classification using deep learning and apache spark architecture,Brahmane A.V.; Krishna B.C.,2021,Neural Computing and Applications,10.1007/s00521-021-06145-w,2021,,
130,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge",,,,,,,
131,Rider-Deep Belief Network-Based MapReduce Framework for Big Data Classification,Gujjeti S.; Pabboju S.,2021,"Smart Innovation, Systems and Technologies",10.1007/978-981-16-0878-0_24,2021,,
132,A deep LSTM network for the Spanish electricity consumption forecasting,"Torres, JF; Martínez-Alvarez, F; Troncoso, A",2022,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-021-06773-2,2022,,
