Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database
Learning to Explore Distillability and Sparsability: A Joint Framework for Model Compression,Y. Liu; J. Cao; B. Li; W. Hu; S. Maybank,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2022.3185317,2023,,IEEE Journals
CSR-Net: A Novel Complex-Valued Network for Fast and Precise 3-D Microwave Sparse Reconstruction,M. Wang; S. Wei; J. Shi; Y. Wu; Q. Qu; Y. Zhou; X. Zeng; B. Tian,2020,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2020.3014696,2020,,IEEE Journals
D2D Cooperative Communication Network Resource Allocation Algorithm Based on Improved Monte Carlo Tree Search,X. Li; G. Chen,2023,IEEE Access,10.1109/ACCESS.2023.3280604,2023,,IEEE Journals
Robust Fine-Grained Visual Recognition With Neighbor-Attention Label Correction,S. Mao; S. Zhang,2024,IEEE Transactions on Image Processing,10.1109/TIP.2024.3378461,2024,,IEEE Journals
Enhanced Coati Optimization Algorithm for Big Data Optimization Problem,"Baş E,Yildizdan G",2023,Kluwer Academic Publishers,10.1007/s11063-023-11321-1,2023,Journal Article,ACM
Real-time Optimization Algorithm for Intelligent Logistics Transportation Routes Based on Big Data Analysis,Wang J,2024,Association for Computing Machinery,10.1145/3662739.3672306,2024,Conference Paper,ACM
Multimedia Network Big Data Balanced Scheduling Based On Fibonacci Tree Optimization Algorithm,Chen F,2022,Association for Computing Machinery,10.1145/3495018.3495446,2022,Conference Paper,ACM
Big Data Swarm Intelligence Optimization Algorithm Application in the Intelligent Management of an E-Commerce Logistics Warehouse,"Chen Z,Liu J,Wang Y",2023,IGI Global,10.4018/JCIT.332809,2023,Journal Article,ACM
A New Particle Swarm Optimization Algorithm for Optimizing Big Data Clustering,"Hashemi SE,Tavana M,Bakhshi M",2022,Springer-Verlag,10.1007/s42979-022-01208-8,2022,Journal Article,ACM
Optimisation algorithm-based recurrent neural network for big data classification,"Akhtar MM,Ahamad D,AlamHameed S",2021,Inderscience Publishers,10.1504/ijiids.2021.114527,2021,Journal Article,ACM
Real-Time Collision Detection Optimization Algorithm Based on Snake Model in the Field of Big Data,"Cheng S,Qu H,Gao Y",2023,IOS Press,10.1155/2023/4960900,2023,Journal Article,ACM
Big Data Value Calculation Method Based on Particle Swarm Optimization Algorithm,"Ma W,Hou X,Kumar A",2022,Hindawi Limited,10.1155/2022/5356164,2022,Journal Article,ACM
Exponential Chimp Optimization Algorithm based Deep Neuro‐Fuzzy Network with MapReduce framework for fake news detection in big data analytics,"Kanchanamala P,Selva Rani B,Vairamuthu S",2023,"John Wiley & Sons, Inc.",10.1002/acs.3645,2023,Journal Article,ACM
Intelligent Analysis and Processing System of Financial Big Data Based on Chaotic Particle Swarm Optimization Algorithm,Zhang Y,2023,Association for Computing Machinery,10.1145/3588340.3588554,2023,Conference Paper,ACM
Real-Time Controllable Optimization Algorithm for Correlated Big Data in Cloud Computing Environment,"Li R,Pu Z,Choi JM",2022,IOS Press,10.1155/2022/7025597,2022,Journal Article,ACM
Big data-driven scheduling optimization algorithm for Cyber–Physical Systems based on a cloud platform,"Niu C,Wang L",2022,Elsevier Science Publishers B. V.,10.1016/j.comcom.2021.10.020,2022,Journal Article,ACM
An Improved Yin-Yang-Pair Optimization Algorithm Based on Elite Strategy and Adaptive Mutation Method for Big Data Analytics,"Xu H,Ding M,Lu Y,Ye Z",2023,Springer-Verlag,10.1007/978-3-031-25158-0_1,2023,Conference Paper,ACM
"Optimization Algorithm of Sports Big Data Industry Architecture Based on Fuzzy Clustering Under the Background of ""Internet +""","Fu W,Li H",2022,Association for Computing Machinery,10.1145/3510858.3511406,2022,Conference Paper,ACM
An intrusion detection approach using ensemble Support Vector Machine based Chaos Game Optimization algorithm in big data platform,"Ponmalar A,Dhanakoti V",2022,Elsevier Science Publishers B. V.,10.1016/j.asoc.2021.108295,2022,Journal Article,ACM
A New Distributed and Decentralized Stochastic Optimization Algorithm with Applications in Big Data Analytics,"Shahbazian R,Grandinetti L,Guerriero F",2019,Springer-Verlag,10.1007/978-3-030-13709-0_7,2019,Conference Paper,ACM
Feature selection based on an improved cat swarm optimization algorithm for big data classification,"Lin KC,Zhang KY,Huang YH,Hung JC,Yen N",2016,Kluwer Academic Publishers,10.1007/s11227-016-1631-0,2016,Journal Article,ACM
Developing a Novel Hybrid Biogeography-Based Optimization Algorithm for Multilayer Perceptron Training under Big Data Challenge,"Pu X,Chen S,Yu X,Zhang L",2018,Hindawi Limited,10.1155/2018/2943290,2018,Journal Article,ACM
Computational Mathematics with SageMath,"Zimmermann P,Casamayou A,Cohen N,Connan G,Dumont T,Fousse L,Maltey F,Meulien M,Mezzarobba M,Pernet C,Thiry NM,Bray E,Cremona J,Forets M,Ghitza A,Thomas H",2018,SIAM-Society for Industrial and Applied Mathematics,,2018,Book,ACM
Applied Computational Mathematics in Social Sciences,Damaceanu RC,2018,Bentham Science Publishers,,2018,Book,ACM
Encyclopedia of Applied and Computational Mathematics,Engquist B,2016,"Springer Publishing Company, Incorporated",,2016,Book,ACM
Machine Learning and Computational Mathematics: Studies of Accelerating Polymer Phase Discovery and Finding Optimal Policies for a Pandemic,"Xuan Y,J. Garcia-Cervera C,H Fredrickson G",2021,"University of California, Santa Barbara",,2021,Ph.D. Thesis,ACM
Where do computational mathematics and computational statistics converge?,Duffy AC,2014,"John Wiley & Sons, Inc.",10.1002/wics.1313,2014,Journal Article,ACM
Deep Generative Design Models for Improved Door Frame Performance,Puthuvayil N.; Zaman T.; Arunkumar K.; Sivasankari S.; Cheyadri R.,2021,SAE Technical Papers,10.4271/2021-01-0243,2021,,Scopus
An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform,Manoranjithem; Dhanasekaran S.; Asokan A.; Kumar A.; Yamini C.; Tiwari M.,2023,"IDCIoT 2023 - International Conference on Intelligent Data Communication Technologies and Internet of Things, Proceedings",10.1109/IDCIoT56793.2023.10053504,2023,,Scopus
Modelling of healthcare data analytics using optimal machine learning model in big data environment,Fancy C.; Krishnaraj N.; Ishwarya K.; Raja G.; Chandrasekaran S.,2024,Expert Systems,10.1111/exsy.13612,2024,,Scopus
"2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques, EASCT 2023",,2023,"2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques, EASCT 2023",,2023,,Scopus
Deep Learning and Big Data Integration with Cuckoo Search Optimization for Robust Phishing Attack Detection,Gupta B.B.; Gaurav A.; Wu J.; Arya V.; Chui K.T.,2024,IEEE International Conference on Communications,10.1109/ICC51166.2024.10622646,2024,,Scopus
"1st World Conference on Intelligent and 3-D Technologies, WCI3DT 2022",,2023,"Smart Innovation, Systems and Technologies",,2023,,Scopus
Practice and Experience in using Parallel and Scalable Machine Learning with Heterogenous Modular Supercomputing Architectures,Riedel M.; Sedona R.; Barakat C.; Einarsson P.; Hassanian R.; Cavallaro G.; Book M.; Neukirchen H.; Lintermann A.,2021,"2021 IEEE International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2021 - In conjunction with IEEE IPDPS 2021",10.1109/IPDPSW52791.2021.00019,2021,,Scopus
Fast correlated-photon imaging enhanced by deep learning,Li Z.-M.; Wu S.-B.; Gao J.; Zhou H.; Yan Z.-Q.; Ren R.-J.; Yin S.-Y.; Jin X.-M.,2021,Optica,10.1364/OPTICA.408843,2021,,Scopus
"Proceedings - 2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023",,2023,"Proceedings - 2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023",,2023,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
"3rd International Conference on Optimization, Learning Algorithms and Applications, OL2A 2023",,2024,Communications in Computer and Information Science,,2024,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
Golden eagle based improved Att-BiLSTM model for big data classification with hybrid feature extraction and feature selection techniques,Kotikam G.; Selvaraj L.,2024,Network: Computation in Neural Systems,10.1080/0954898X.2023.2293895,2024,,Scopus
Deep Learning Algorithm Research and Performance Optimization of Financial Treasury Big Data Monitoring Platform,Wang Y.; Ding D.,2024,International Journal of Advanced Computer Science and Applications,10.14569/IJACSA.2024.0150635,2024,,Scopus
"7th Euro-China Conference on Intelligent Data Analysis and Applications, ECC 2021",,2022,"Smart Innovation, Systems and Technologies",,2022,,Scopus
An effective structure of multi-modal deep convolutional neural network with adaptive group teaching optimization,Gupta V.; Pawar S.,2022,Soft Computing,10.1007/s00500-022-07107-7,2022,,Scopus
Smart city urban planning using an evolutionary deep learning model,Alghamdi M.,2024,Soft Computing,10.1007/s00500-023-08219-4,2024,,Scopus
Blockchain based Securing Medical Records in Big Data Analytics,Marichamy V.S.; Natarajan V.,2023,Data and Knowledge Engineering,10.1016/j.datak.2022.102122,2023,,Scopus
Lung Tumor Diagnosis Technology Based on 6G Wireless Network Sensors and Big Data Analysis,Chen Z.,2024,Wireless Personal Communications,10.1007/s11277-024-11215-y,2024,,Scopus
"2024 International Conference on Intelligent Systems and Computer Vision, ISCV 2024",,2024,"2024 International Conference on Intelligent Systems and Computer Vision, ISCV 2024",,2024,,Scopus
Distributed hierarchical deep optimization for federated learning in mobile edge computing,Zheng X.; Shah S.B.H.; Bashir A.K.; Nawaz R.; Rana U.,2022,Computer Communications,10.1016/j.comcom.2022.07.028,2022,,Scopus
Fuzzy Local Information and Bhattacharya-Based C-Means Clustering and Optimized Deep Learning in Spark Framework for Intrusion Detection,Bouya-Moko B.E.; Boahen E.K.; Wang C.,2022,Electronics (Switzerland),10.3390/electronics11111675,2022,,Scopus
"4th International Conference on Trends in Cognitive Computation Engineering, TCCE 2022",,2023,Lecture Notes in Networks and Systems,,2023,,Scopus
Improved Metaheuristics with Deep Autoencoders for COVID-19 Detection and Classification,Assudani M.K.; Nirmala B.; Kanimozhi N.; Chandre S.; Sunalini K.K.; Gopatoti A.,2023,"2023 2nd International Conference on Electrical, Electronics, Information and Communication Technologies, ICEEICT 2023",10.1109/ICEEICT56924.2023.10156986,2023,,Scopus
Predictions of the Key Operating Parameters in Waste Incineration Using Big Data and a Multiverse Optimizer Deep Learning Model,Zhao Z.; Zhou Z.; Lu Y.; Li Z.; Wei Q.; Xu H.,2023,Sustainability (Switzerland),10.3390/su151914530,2023,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
Simulation Learning and Optimization: Methodology and Applications,Chang K.-H.; Chen T.-L.,2024,Asia-Pacific Journal of Operational Research,10.1142/S0217595924400086,2024,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
Hybrid Whale Tabu algorithm optimized convolutional neural network architecture for intrusion detection in big data,Ponmalar A.; Dhanakoti V.,2022,Concurrency and Computation: Practice and Experience,10.1002/cpe.7038,2022,,Scopus
Hyperparameter Tuned Deep Learning Enabled Intrusion Detection on Internet of Everything Environment,Hamza M.A.; Abdalla Hashim A.H.; Mohamed H.G.; Alotaibi S.S.; Mahgoub H.; Mehanna A.S.; Motwakel A.,2022,"Computers, Materials and Continua",10.32604/cmc.2022.031303,2022,,Scopus
An Efficient Cancer Classification Model Using Deep Neural Network with Arithmetic Optimization Algorithm-Based Optimal Gene Selection,Shyamala Gowri B.; Nair S.A.H.; Sanal Kumar K.P.; Kamalakkannan S.,2023,"7th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2023 - Proceedings",10.1109/ICECA58529.2023.10395446,2023,,Scopus
"Proceedings - 2023 2nd International Conference on Big Data, Information and Computer Network, BDICN 2023",,2023,"Proceedings - 2023 2nd International Conference on Big Data, Information and Computer Network, BDICN 2023",,2023,,Scopus
Modified Buffalo Optimization with Big Data Analytics Assisted Intrusion Detection Model,Sheeba R.; Sharmila R.; Alkhayyat A.; Malik R.Q.,2023,Computer Systems Science and Engineering,10.32604/csse.2023.034321,2023,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
Cyber Forensic Investigation in IoT Using Deep Learning Based Feature Fusion in Big Data,Thapaliya S.; Sharma P.K.,2023,International Journal of Wireless Information Networks,10.1007/s10776-022-00586-3,2023,,Scopus
Spotted Hyena Optimizer Driven Deep Learning-Based Drug-Drug Interaction Prediction in Big Data Environment,Mohammed Jasim M.J.; Kak S.F.; Ageed Z.S.; Zeebaree S.R.M.,2023,Computer Systems Science and Engineering,10.32604/csse.2023.037580,2023,,Scopus
Evaluation of contemporary intrusion detection systems for internet of things environment,Choudhary V.; Tanwar S.; Choudhury T.,2024,Multimedia Tools and Applications,10.1007/s11042-023-15918-5,2024,,Scopus
An evolutionary approach for depression detection from Twitter big data using a novel deep learning model with attention based feature learning mechanism,Prabhakar K.; Kavitha V.,2024,Automatika,10.1080/00051144.2023.2296793,2024,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
Research on Employee Performance Management Method Based on Big Data Improvement GWO-DELM Algorithms,Wang Z.; Liu Y.,2024,EAI Endorsed Transactions on Scalable Information Systems,10.4108/eetsis.4916,2024,,Scopus
State-of-health and remaining-useful-life estimations of lithium-ion battery based on temporal convolutional network-long short-term memory,Li C.; Han X.; Zhang Q.; Li M.; Rao Z.; Liao W.; Liu X.; Liu X.; Li G.,2023,Journal of Energy Storage,10.1016/j.est.2023.109498,2023,,Scopus
Evolutionary Algorithm Based Feature Subset Selection for Students Academic Performance Analysis,Babu I.; Mathusoothana R.; Kumar S.,2023,Intelligent Automation and Soft Computing,10.32604/iasc.2023.033791,2023,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
An Innovative Evolutionary Computation Strategy for Optimizing Deep Learning Network,Ali S.S.; Helmy Y.M.; Moawad I.F.,2023,Springer Proceedings in Earth and Environmental Sciences,10.1007/978-3-031-40447-4_27,2023,,Scopus
Enhancing Enterprise Value Creation Through Intelligent Digital Transformation of the Value Chain: A Deep Learning and Edge Computing Approach,Liu R.; Wang Y.,2024,Journal of the Knowledge Economy,10.1007/s13132-024-02087-5,2024,,Scopus
Optimal intelligent information retrieval and reliable storage scheme for cloud environment and E-learning big data analytics,Venkatachalam C.; Venkatachalam S.,2024,Knowledge and Information Systems,10.1007/s10115-024-02152-0,2024,,Scopus
"3rd International Workshop on New Approaches for Multidimensional Signal Processing, NAMSP 2022",,2023,"Smart Innovation, Systems and Technologies",,2023,,Scopus
Prediction Bitcoin Price based on Long Short Term Memory (LSTM) Optimized by Gradient Descent,Saidah C.A.R.; Farikhin; Herdiana R.; Sam’an M.,2023,AIP Conference Proceedings,10.1063/5.0187153,2023,,Scopus
A novel sigmoid butterfly optimization deep learning model for big data classification,Umanesan R.; Kanchana R.; Rathi R.; Visvanathan P.,2023,"Building Intelligent Systems Using Machine Learning and Deep Learning: Security, Applications and Its Challenges",,2023,,Scopus
A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm,Hussen N.; Elghamrawy S.M.; Salem M.; El-Desouky A.I.,2023,IEEE Access,10.1109/ACCESS.2023.3281893,2023,,Scopus
Efficiency Study of SSAG on RNN Framework,Xie X.; Chen A.,2022,"IEEE Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",10.1109/IAEAC54830.2022.9929855,2022,,Scopus
Adaptive Deep Learning Model for Air Pollution Analysis Using Meteorological Big Data,Suganya S.; Meyyappan T.,2021,"Proceedings of the 2021 2nd International Conference on Communication, Computing and Industry 4.0, C2I4 2021",10.1109/C2I454156.2021.9689298,2021,,Scopus
Efficient Online Big Data Stream Clustering Using Dual Interactive Wasserstein Generative Adversarial Network,Matheswaran S.; Nachimuthu N.; Prakash G.,2024,International Journal on Artificial Intelligence Tools,10.1142/S021821302450009X,2024,,Scopus
Internet of Things Based Horizontal Axis Tracking Solar Panel Performance Evaluation,Magudeswaran P.; Sakthivel P.,2024,Electric Power Components and Systems,10.1080/15325008.2023.2243940,2024,,Scopus
New Insights into Drug Repurposing for COVID-19 Using Deep Learning,Lee C.Y.; Chen Y.-P.P.,2021,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3111745,2021,,Scopus
LightAdam: Towards a Fast and Accurate Adaptive Momentum Online Algorithm,Zhou Y.; Huang K.; Cheng C.; Wang X.; Liu X.,2022,Cognitive Computation,10.1007/s12559-021-09985-9,2022,,Scopus
"ICET 2021 - 16th International Conference on Emerging Technologies 2021, Proceedings",,2021,"ICET 2021 - 16th International Conference on Emerging Technologies 2021, Proceedings",,2021,,Scopus
Taylor jellyfish search algorithm enabled feature selection and deep learning for big data classification using mapreduce framework,Kalpana K.; Sunil Vijaya Kumar G.; Madhavi K.,2024,Australian Journal of Electrical and Electronics Engineering,10.1080/1448837X.2024.2309429,2024,,Scopus
"6th EAI International Conference on 6GN for Future Wireless Networks, 6GN 2023",,2024,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,2024,,Scopus
Hybrid optimization enabled deep learning and spark architecture using big data analytics for stock market forecasting,Kanchanamala P.; Karnati R.; Bhaskar Reddy P.V.,2023,Concurrency and Computation: Practice and Experience,10.1002/cpe.7618,2023,,Scopus
"11th and 12th EAI International Conference on Big Data Technologies and Applications, BDTA 2021 and BDTA 2022",,2023,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,2023,,Scopus
Big Data Analytics Assisted Arithmetic Optimization with Deep Learning Model for Sentiment Classification,Manivannan K.; Suresh T.; Parthiban M.,2023,International Journal of Engineering Trends and Technology,10.14445/22315381/IJETT-V71I12P206,2023,,Scopus
Prediction of ball-on-plate friction and wear by ANN with data-driven optimization,Kovalev A.; Tian Y.; Meng Y.,2024,Friction,10.1007/s40544-023-0803-1,2024,,Scopus
"Artificial Intelligence / Machine Learning-based Innovations – A Review of Patent Eligibility Standards, Policies, Open Issues and Guiding Framework",Iqbal Z.; Sadaf S.,2024,Expert Systems with Applications,10.1016/j.eswa.2023.121819,2024,,Scopus
"International Conference on Emerging Technologies and Intelligent Systems, ICETIS 2021",,2022,Lecture Notes in Networks and Systems,,2022,,Scopus
"6th EAI International Conference on 6GN for Future Wireless Networks, 6GN 2023",,2024,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",,2024,,Scopus
Locational Marginal Electricity Price Forecasting-Based Self-Attention Mechanism and Simulated Annealing Optimizer using Big Data,Massaoudi M.; Abu-Rub H.; Refaat S.S.; Ali Al-Kuwari A.; Huang T.,2021,"10th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2021",10.1109/ICRERA52334.2021.9598604,2021,,Scopus
A hybrid deep learning-based unsupervised anomaly detection in high dimensional data,Muneer A.; Taib S.M.; Fati S.M.; Balogun A.O.; Aziz I.A.,2022,"Computers, Materials and Continua",10.32604/cmc.2022.020732,2022,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
An innovative decision making method for air quality monitoring based on big data-assisted artificial intelligence technique,Fu L.; Li J.; Chen Y.,2023,Journal of Innovation and Knowledge,10.1016/j.jik.2022.100294,2023,,Scopus
"7th International Conference on Information Science, Communication and Computing,  ISCC 2023",,2024,"Smart Innovation, Systems and Technologies",,2024,,Scopus
Optimal deep learning approaches and healthcare big data analytics for mobile networks toward 5G,Pustokhin D.A.; Pustokhina I.V.; Rani P.; Kansal V.; Elhoseny M.; Joshi G.P.; Shankar K.,2021,Computers and Electrical Engineering,10.1016/j.compeleceng.2021.107376,2021,,Scopus
Big Data Classification in IOT Healthcare Application Using Optimal Deep Learning,Akhtar M.D.M.; Ahamad D.; Shatat A.S.A.; Shatat A.S.A.,2023,International Journal of Semantic Computing,10.1142/S1793351X22400153,2023,,Scopus
Deep Learning Model for Big Data Classification in Apache Spark Environment,Nithya T.M.; Umanesan R.; Kalavathidevi T.; Selvarathi C.; Kavitha A.,2023,Intelligent Automation and Soft Computing,10.32604/iasc.2022.028804,2023,,Scopus
Attack prevention in IoT through hybrid optimization mechanism and deep learning framework,Nagaraju R.; Pentang J.T.; Abdufattokhov S.; CosioBorda R.F.; Mageswari N.; Uganya G.,2022,Measurement: Sensors,10.1016/j.measen.2022.100431,2022,,Scopus
"2nd International Conference on Integrated Circuits and Communication Systems, ICICACS 2024",,2024,"2nd International Conference on Integrated Circuits and Communication Systems, ICICACS 2024",,2024,,Scopus
Quantum Machine Intelligence for 6G URLLC,Zaman F.; Farooq A.; Ullah M.A.; Jung H.; Shin H.; Win M.Z.,2023,IEEE Wireless Communications,10.1109/MWC.003.2200382,2023,,Scopus
"A Comprehensive Review on the Role of Artificial Intelligence in Power System Stability, Control, and Protection: Insights and Future Directions",Alhamrouni I.; Abdul Kahar N.H.; Salem M.; Swadi M.; Zahroui Y.; Kadhim D.J.; Mohamed F.A.; Alhuyi Nazari M.,2024,Applied Sciences (Switzerland),10.3390/app14146214,2024,,Scopus
"International Conference on Algorithms, Microchips and Network Applications",,2022,Proceedings of SPIE - The International Society for Optical Engineering,,2022,,Scopus
DSSAE-BBOA: deep learning-based weather big data analysis and visualization,Madhukar Rao G.; Dharavath R.,2021,Multimedia Tools and Applications,10.1007/s11042-021-11059-9,2021,,Scopus
Cross-correlation and forecast impact of public attention on USD/CNY exchange rate: Evidence from Baidu Index,Lin Y.; Wang R.; Gong X.; Jia G.,2022,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2022.127686,2022,,Scopus
An Intelligent Task Scheduling Model for Hybrid Internet of Things and Cloud Environment for Big Data Applications,Pal S.; Jhanjhi N.Z.; Abdulbaqi A.S.; Akila D.; Alsubaei F.S.; Almazroi A.A.,2023,Sustainability (Switzerland),10.3390/su15065104,2023,,Scopus
Classification of Massive Data Sets Using a Revolutionary Grey Wolf Optimization Algorithm and a Deep Learning Model in a Cloud-Based Setting,Anandan P.; Manju A.; Reddy M.R.,2023,"2023 International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI 2023",10.1109/ICDSAAI59313.2023.10452437,2023,,Scopus
Self-attention convolutional neural network optimized with season optimization algorithm Espoused Chronic Kidney Diseases Diagnosis in Big Data System,Sulthan Alikhan J.; Alageswaran R.; Miruna Joe Amali S.,2023,Biomedical Signal Processing and Control,10.1016/j.bspc.2023.105011,2023,,Scopus
ExpSSOA-Deep maxout: Exponential Shuffled shepherd optimization based Deep maxout network for intrusion detection using big data in cloud computing framework,Pandey B.K.; M．R．M． V.; Ahmad S.; Rodriguez C.; Esenarro D.,2023,Computers and Security,10.1016/j.cose.2022.102975,2023,,Scopus
Efficient and secure medical big data management system using optimal map-reduce framework and deep learning,Rajeshkumar K.; Dhanasekaran S.; Vasudevan V.,2024,Multimedia Tools and Applications,10.1007/s11042-023-17381-8,2024,,Scopus
"Proceedings - 2023 15th IEEE International Conference on Computational Intelligence and Communication Networks, CICN 2023",,2023,"Proceedings - 2023 15th IEEE International Conference on Computational Intelligence and Communication Networks, CICN 2023",,2023,,Scopus
Big data analytics in healthcare environment using chaotic red deer optimizer with deep learning for disease classification model,Kumar R.H.; Sunitha G.,2024,Multimedia Tools and Applications,10.1007/s11042-024-18239-3,2024,,Scopus
Modeling of extended osprey optimization algorithm with Bayesian neural network: An application on Fintech to predict financial crisis,Abdullayev I.; Akhmetshin E.; Kosorukova I.; Klochko E.; Cho W.; Joshi G.P.,2024,AIMS Mathematics,10.3934/math.2024853,2024,,Scopus
Fuzzy Neighbors and Deep Learning-Assisted Spark Model for Imbalanced Classification of Big Data,Nalinipriya G.; Geetha M.; Sudha D.; Daniya T.,2023,"International Journal of Uncertainty, Fuzziness and Knowldege-Based Systems",10.1142/S0218488523500095,2023,,Scopus
Classification of DNA Microarray Gene Expression Leukaemia Data through ABC and CNN Method,Wahid A.; Banday M.T.,2023,International Journal of Intelligent Systems and Applications in Engineering,,2023,,Scopus
Artificial Intelligence: New Frontiers in Real-Time Inverse Scattering and Electromagnetic Imaging,Salucci M.; Arrebola M.; Shan T.; Li M.,2022,IEEE Transactions on Antennas and Propagation,10.1109/TAP.2022.3177556,2022,,Scopus
Big data classification using deep learning and apache spark architecture,Brahmane A.V.; Krishna B.C.,2021,Neural Computing and Applications,10.1007/s00521-021-06145-w,2021,,Scopus
"13th International Field Exploration and Development Conference, IFEDC 2023",,2024,Springer Series in Geomechanics and Geoengineering,,2024,,Scopus
"International Conference on Emerging Technologies and Intelligent Systems, ICETIS 2021",,2022,Lecture Notes in Networks and Systems,,2022,,Scopus
"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,"4th International Conference on Pattern Analysis and Intelligent Systems, PAIS 2022 - Proceedings",,2022,,Scopus
Grey Wolf Shuffled Shepherd Optimization Algorithm-Based Hybrid Deep Learning Classifier for Big Data Classification,Banchhor C.; Srinivasu N.,2022,International Journal of Swarm Intelligence Research,10.4018/IJSIR.302612,2022,,Scopus
"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge",Zhang W.; Gu X.; Tang L.; Yin Y.; Liu D.; Zhang Y.,2022,Gondwana Research,10.1016/j.gr.2022.03.015,2022,,Scopus
A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy under a Cloud Environment,Zhou Z.; Li F.; Yang S.,2021,ACM Transactions on Asian and Low-Resource Language Information Processing,10.1145/3462761,2021,,Scopus
A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm,Zhao Q.; Gao Y.,2018,"2018 International Conference on Smart Computing and Electronic Enterprise, ICSCEE 2018",10.1109/ICSCEE.2018.8538372,2018,,Scopus
Multi-stage optimization of a deep model: A case study on ground motion modeling,Tahmassebi A.; Gandomi A.H.; Fong S.; Meyer-Baese A.; Foo S.Y.,2018,PLoS ONE,10.1371/journal.pone.0203829,2018,,Scopus
Neural Network Topology Construction and Classroom Interaction Benchmark Graph Based on Big Data Analysis,Luan C.; Shang P.,2021,Wireless Communications and Mobile Computing,10.1155/2021/2334443,2021,,Scopus
"1st International Conference on Artificial Intelligence and Computer Visions, AICV 2020",,2020,Advances in Intelligent Systems and Computing,,2020,,Scopus
Mariana: Tencent deep learning platform and its applications,Zou Y.; Jin X.; Li Y.; Guo Z.; Wang E.; Xiao B.,2014,Proceedings of the VLDB Endowment,10.14778/2733004.2733082,2014,,Scopus
Water Pollution Prediction Based on Deep Belief Network in Big Data of Water Environment Monitoring,Liang L.,2021,Scientific Programming,10.1155/2021/8271950,2021,,Scopus
Prediction of Daily Entrance and Exit Passenger Flow of Rail Transit Stations by Deep Learning Method,Zhu H.; Yang X.; Wang Y.,2018,Journal of Advanced Transportation,10.1155/2018/6142724,2018,,Scopus
Annealed gradient descent for deep learning,Pan H.; Jiang H.,2015,"Uncertainty in Artificial Intelligence - Proceedings of the 31st Conference, UAI 2015",,2015,,Scopus
Improved Deep Neural Network for OFDM Signal Recognition Using Hybrid Grey Wolf Optimization,Zhang Y.; Liu D.; Liu J.; Xian Y.; Wang X.,2020,IEEE Access,10.1109/ACCESS.2020.3010589,2020,,Scopus
A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data,Elsayad A.S.; Desouky A.I.E.; Salem M.M.; Badawy M.,2020,IEEE Access,10.1109/ACCESS.2020.2995790,2020,,Scopus
